epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,22470,0.86627,0.4329,1.25416,0.89203,0.91334,0.92778,0.57067,1.40373,0.57657,1.74146,0.000269557,0.000269557,0.000269557
43,22885.1,0.87277,0.44303,1.2541,0.92436,0.87684,0.94119,0.57887,1.41345,0.59167,1.76632,0.000268815,0.000268815,0.000268815
44,23388.9,0.85551,0.42431,1.24318,0.8804,0.89755,0.93339,0.57317,1.44804,0.63764,1.80621,0.000268072,0.000268072,0.000268072
45,23896,0.84167,0.41984,1.23529,0.90249,0.88704,0.94059,0.57845,1.43191,0.61763,1.78194,0.00026733,0.00026733,0.00026733
46,24465.3,0.8301,0.42062,1.22316,0.92265,0.8629,0.93668,0.5767,1.43926,0.64797,1.80183,0.000266587,0.000266587,0.000266587
47,25054.9,0.82038,0.40416,1.21698,0.89399,0.89887,0.93271,0.57502,1.43413,0.60656,1.81395,0.000265845,0.000265845,0.000265845
48,25605.4,0.83317,0.41724,1.2265,0.90479,0.90369,0.93226,0.57435,1.44475,0.62187,1.80597,0.000265103,0.000265103,0.000265103
49,26033.7,0.80846,0.41078,1.20675,0.91642,0.89017,0.92972,0.57729,1.41077,0.60809,1.76863,0.00026436,0.00026436,0.00026436
50,26543.8,0.79971,0.40077,1.20218,0.8847,0.91064,0.93214,0.58475,1.42999,0.63398,1.81108,0.000263617,0.000263617,0.000263617
51,27080.5,0.78866,0.39082,1.18789,0.92775,0.90133,0.94429,0.58435,1.42001,0.60695,1.76865,0.000262875,0.000262875,0.000262875
52,27769.5,0.78379,0.38962,1.18783,0.93035,0.88941,0.9433,0.59386,1.39795,0.586,1.75862,0.000262132,0.000262132,0.000262132
53,28257.7,0.76904,0.3913,1.17588,0.93306,0.88372,0.94796,0.58088,1.4406,0.60488,1.83722,0.00026139,0.00026139,0.00026139
54,28818.1,0.75836,0.3874,1.16498,0.90008,0.92644,0.95301,0.58522,1.42145,0.5757,1.83668,0.000260647,0.000260647,0.000260647
55,29343.1,0.76022,0.38636,1.17134,0.89385,0.91319,0.94021,0.58291,1.42155,0.60926,1.81877,0.000259905,0.000259905,0.000259905
56,29909,0.75408,0.38405,1.16141,0.91237,0.88253,0.93779,0.5814,1.44468,0.60805,1.84282,0.000259163,0.000259163,0.000259163
57,30439.4,0.75275,0.37697,1.15916,0.9225,0.88378,0.92856,0.57905,1.41703,0.61556,1.8451,0.00025842,0.00025842,0.00025842
58,31000.7,0.73453,0.36407,1.1478,0.90052,0.90813,0.9304,0.57692,1.43898,0.62195,1.83438,0.000257678,0.000257678,0.000257678
59,31459.9,0.73833,0.37302,1.14942,0.93484,0.8853,0.93359,0.58304,1.39828,0.60315,1.7944,0.000256935,0.000256935,0.000256935
60,32002.1,0.72436,0.36903,1.14528,0.9003,0.92703,0.93618,0.58754,1.41152,0.60353,1.80512,0.000256192,0.000256192,0.000256192
61,32508.8,0.70847,0.36014,1.13155,0.91599,0.8774,0.93428,0.59123,1.39618,0.61853,1.82165,0.00025545,0.00025545,0.00025545
62,33114.7,0.70945,0.36193,1.12811,0.8976,0.91892,0.94221,0.5895,1.38334,0.56476,1.80689,0.000254707,0.000254707,0.000254707
63,33600.2,0.70226,0.35224,1.11594,0.91942,0.87236,0.93499,0.59007,1.38739,0.61303,1.80474,0.000253965,0.000253965,0.000253965
64,34170.1,0.69503,0.35894,1.11222,0.87878,0.91875,0.93429,0.58032,1.43032,0.61266,1.87752,0.000253223,0.000253223,0.000253223
65,34650.2,0.68777,0.35157,1.10914,0.91489,0.88076,0.93631,0.57796,1.4418,0.63174,1.86578,0.00025248,0.00025248,0.00025248
