epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,15566.6,0.29703,0.15911,0.74113,0.98053,0.72222,0.86532,0.43998,1.4512,0.99437,2.83048,8.0695e-05,8.0695e-05,8.0695e-05
41,15953.9,0.30248,0.16458,0.74823,0.9375,0.83333,0.91053,0.48421,1.40693,0.70047,2.67431,8.02e-05,8.02e-05,8.02e-05
42,16342.2,0.295,0.171,0.72923,1,0.83333,0.9166,0.4713,1.44144,0.60306,2.85323,7.9705e-05,7.9705e-05,7.9705e-05
43,16729.4,0.28239,0.1582,0.72684,0.96429,0.75,0.87036,0.45375,1.40428,0.73858,2.66117,7.921e-05,7.921e-05,7.921e-05
44,17117.2,0.2842,0.16309,0.72575,0.93548,0.80556,0.89441,0.45406,1.45426,0.69005,2.60772,7.8715e-05,7.8715e-05,7.8715e-05
45,17504.8,0.28423,0.16072,0.7243,1,0.77778,0.88885,0.48101,1.43588,0.78191,2.75315,7.822e-05,7.822e-05,7.822e-05
46,17892.4,0.27433,0.15348,0.71089,1,0.77718,0.89641,0.47249,1.46826,0.62828,2.7684,7.7725e-05,7.7725e-05,7.7725e-05
47,18279.8,0.2783,0.15628,0.7205,0.93548,0.80556,0.89441,0.45814,1.45275,0.71527,2.72009,7.723e-05,7.723e-05,7.723e-05
48,18667.5,0.26307,0.14852,0.69932,0.93548,0.80556,0.89182,0.45182,1.48156,0.5662,2.83545,7.6735e-05,7.6735e-05,7.6735e-05
49,19054.7,0.27581,0.15329,0.70586,1,0.71924,0.86603,0.44593,1.47376,0.72699,2.68564,7.624e-05,7.624e-05,7.624e-05
50,19442.4,0.26202,0.15057,0.68651,0.90323,0.77778,0.87133,0.44015,1.45181,0.75795,2.64676,7.5745e-05,7.5745e-05,7.5745e-05
51,394.304,0.31221,0.23717,0.75423,0.96502,0.76651,0.87853,0.4345,1.46343,0.67625,2.63381,7.525e-05,7.525e-05,7.525e-05
52,784.21,0.28262,0.16924,0.71977,0.9933,0.75,0.87583,0.44388,1.48143,0.70783,2.81815,7.4755e-05,7.4755e-05,7.4755e-05
53,1173.13,0.27838,0.16827,0.74566,0.93333,0.77778,0.87954,0.45805,1.42795,0.65211,2.64928,7.426e-05,7.426e-05,7.426e-05
54,1562.3,0.26882,0.15927,0.69574,0.96516,0.76968,0.8852,0.44128,1.4543,0.74192,2.75323,7.3765e-05,7.3765e-05,7.3765e-05
55,1951.29,0.26768,0.16123,0.72266,0.93333,0.77778,0.87471,0.44908,1.46675,0.69878,2.78496,7.327e-05,7.327e-05,7.327e-05
56,2340.21,0.25831,0.15435,0.70454,0.96456,0.75626,0.87083,0.4631,1.43279,0.5451,2.73041,7.2775e-05,7.2775e-05,7.2775e-05
57,2728.95,0.25584,0.15423,0.70773,0.96313,0.72581,0.86129,0.45582,1.45718,0.90229,2.68185,7.228e-05,7.228e-05,7.228e-05
58,3118.51,0.26081,0.16017,0.70454,0.90323,0.77778,0.87339,0.44937,1.43884,0.78293,2.69266,7.1785e-05,7.1785e-05,7.1785e-05
59,3507.39,0.25559,0.15407,0.70668,0.93333,0.77778,0.87855,0.4374,1.44824,0.80093,2.75229,7.129e-05,7.129e-05,7.129e-05
60,3896.9,0.24415,0.1516,0.69326,0.92958,0.77778,0.88026,0.45129,1.4336,0.72279,2.75716,7.0795e-05,7.0795e-05,7.0795e-05
61,4285.83,0.23087,0.14369,0.66915,1,0.76845,0.88126,0.45259,1.45662,0.7606,2.80182,7.03e-05,7.03e-05,7.03e-05
62,4675.37,0.23365,0.14406,0.67324,0.99311,0.77778,0.87783,0.4685,1.43334,0.74326,2.74204,6.9805e-05,6.9805e-05,6.9805e-05
63,5064.44,0.23547,0.1446,0.68824,0.99606,0.77778,0.87783,0.4577,1.46669,0.60763,2.91599,6.931e-05,6.931e-05,6.931e-05
64,5454.17,0.24127,0.15078,0.70691,0.96552,0.77778,0.8832,0.46166,1.46206,0.61518,2.87614,6.8815e-05,6.8815e-05,6.8815e-05
65,5842.68,0.22361,0.13929,0.6567,0.96429,0.75,0.8675,0.45698,1.43249,0.62741,2.90861,6.832e-05,6.832e-05,6.832e-05
66,6231.93,0.23865,0.14605,0.68098,0.96552,0.77778,0.8832,0.46404,1.426,0.59402,2.80063,6.7825e-05,6.7825e-05,6.7825e-05
67,6620.53,0.23032,0.14296,0.66072,0.99602,0.75,0.88389,0.46374,1.45168,0.60532,2.85948,6.733e-05,6.733e-05,6.733e-05
68,7009.63,0.23482,0.14348,0.67355,0.93333,0.77778,0.8785,0.45319,1.4327,0.60302,2.7842,6.6835e-05,6.6835e-05,6.6835e-05
69,7398.59,0.23732,0.14659,0.68159,0.9654,0.77508,0.87954,0.45579,1.4401,0.53643,2.94766,6.634e-05,6.634e-05,6.634e-05
70,7787.62,0.24275,0.14722,0.68691,0.93333,0.77778,0.87954,0.44162,1.46201,0.53576,2.95744,6.5845e-05,6.5845e-05,6.5845e-05
71,8176.66,0.24133,0.15176,0.69085,1,0.74634,0.87036,0.44251,1.45716,0.56133,3.00147,6.535e-05,6.535e-05,6.535e-05
72,8566.07,0.2273,0.14178,0.6732,0.96419,0.74803,0.85751,0.42829,1.49532,0.63329,3.09413,6.4855e-05,6.4855e-05,6.4855e-05
73,8955.28,0.23341,0.14348,0.69225,0.96419,0.74798,0.86139,0.43358,1.45878,0.57742,2.95105,6.436e-05,6.436e-05,6.436e-05
74,9345.02,0.2345,0.14347,0.69923,0.96415,0.74724,0.86021,0.4459,1.45573,0.69196,2.93128,6.3865e-05,6.3865e-05,6.3865e-05
75,9733.79,0.23707,0.14374,0.70177,0.96429,0.75,0.86964,0.44295,1.4865,0.64286,2.99548,6.337e-05,6.337e-05,6.337e-05
76,10123.7,0.22528,0.14464,0.68358,0.96128,0.75,0.86532,0.44024,1.4924,0.64749,3.0373,6.2875e-05,6.2875e-05,6.2875e-05
77,10512.7,0.22411,0.14092,0.67538,0.90625,0.80556,0.88897,0.46053,1.46539,0.55911,3.08241,6.238e-05,6.238e-05,6.238e-05
